Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Exchange_Rate
9/1/2018,0.0,3.573461538461538,0.0,165.07,4.108747368421053
10/1/2018,0.0,172.39203073710934,0.0,156.46,3.761113636363637
11/1/2018,0.0,1076.9117804517018,0.0,162.37,3.78595
12/1/2018,0.0,295.6227272727274,3.573461538461538,154.8,3.883355555555556
1/1/2019,243.71990545278527,1.3159358972561699,172.39203073710934,160.26,3.735565
2/1/2019,1737.7090538553302,0.116675882924625,1076.9117804517018,160.69,3.724433333333333
3/1/2019,2295.621479643808,0.1080524974178,295.6227272727274,167.44,3.73586320775015
4/1/2019,656.1328719536477,0.0938768878272394,1.3159358972561699,166.74,3.6957914372487797
5/1/2019,0.0,0.123190107322654,0.116675882924625,169.52,3.72510284512667
6/1/2019,0.0,0.127305833220827,0.1080524974178,170.79959271010298,3.74957636594419
