Date,Production,Lag2_Plantation,Lag3_Plantation,Plantation,Lag4_Plantation,Exchange_Rate,Interest_Rate
3/1/2015,10626.430015923253,0.0,64.69759230925229,0.0,3012.452242581703,3.1413727272727274,13.674000000000001
4/1/2015,1507.5780496057814,0.0,0.0,0.0,64.69759230925229,3.0420909090909087,13.6275
5/1/2015,116.85072032468452,0.0,0.0,0.0,0.0,3.056205,13.79
6/1/2015,0.0,0.0,0.0,0.0,0.0,3.1116909090909086,14.0799
7/1/2015,0.0,0.0,0.0,0.0,0.0,3.228809090909091,14.165
8/1/2015,0.0,0.0,0.0,0.0,0.0,3.515433333333333,14.2725
9/1/2015,0.0,0.0,0.0,283.55102381906,0.0,3.903219047619048,15.2022
10/1/2015,0.0,0.0,0.0,3058.8978236417024,0.0,3.875238095238095,15.2552
11/1/2015,0.0,283.55102381906,0.0,5486.085024930897,0.0,3.785768421052632,15.3218
12/1/2015,0.0,3058.8978236417024,283.55102381906,311.4661276083407,0.0,3.880836363636364,14.6346
1/1/2016,3617.7395374224266,5486.085024930897,3058.8978236417024,0.0,283.55102381906,4.05558947368421,14.634
2/1/2016,13118.159220569718,311.4661276083407,5486.085024930897,0.0,3058.8978236417024,3.964385,13.554
3/1/2016,9850.135074601447,0.0,311.4661276083407,0.0,5486.085024930897,3.6980217391304344,13.8614
4/1/2016,1879.6462209381498,0.0,0.0,0.0,311.4661276083407,3.5634476190476194,13.935
5/1/2016,51.11994646825406,0.0,0.0,0.0,0.0,3.5403047619047614,13.9821
6/1/2016,0.0,0.0,0.0,0.0,0.0,3.4234454545454542,13.614
7/1/2016,0.0,0.0,0.0,0.0,0.0,3.27814,13.690999999999999
8/1/2016,0.0,0.0,0.0,0.0,0.0,3.2085521739130436,13.6674
9/1/2016,0.0,0.0,0.0,87.0209071964674,0.0,3.2531809523809523,13.3671
10/1/2016,0.0,0.0,0.0,3504.1499228382613,0.0,3.185395,12.5727
11/1/2016,0.0,87.0209071964674,0.0,4925.008153319293,0.0,3.33689,12.3966
12/1/2016,0.0,3504.1499228382613,87.0209071964674,791.0228791338668,0.0,3.353966666666667,12.27
1/1/2017,8812.022847827498,4925.008153319293,3504.1499228382613,15.598137512108224,87.0209071964674,3.190084210526316,10.7447
2/1/2017,14981.9426203189,791.0228791338668,4925.008153319293,0.0,3504.1499228382613,3.1057263157894734,10.0616
3/1/2017,6330.048297378173,15.598137512108224,791.0228791338668,0.0,4925.008153319293,3.1275304347826087,10.2771
4/1/2017,916.4266639087,0.0,15.598137512108224,0.0,791.0228791338668,3.138995,9.8839
5/1/2017,4.483570566724666,0.0,0.0,0.0,15.598137512108224,3.2042772727272726,11.0799
6/1/2017,0.0,0.0,0.0,0.0,0.0,3.2953954545454542,11.7515
7/1/2017,0.0,0.0,0.0,0.0,0.0,3.19941,9.5267
